"Month","Year","Flat Model","Sale Price"
"2014-10","2014","Simplified","28995376"
"2014-10","2014","Standard","19490300"
"2014-10","2014","Terrace","810000"
"2014-11","2014","Adjoined flat","605000"
"2014-11","2014","Apartment","30017109"
"2014-11","2014","DBSS","4014000"
"2014-11","2014","Improved","150890092"
"2014-11","2014","Maisonette","17948888"
"2014-11","2014","Model A","175281166"
"2014-11","2014","Model A-Maisonette","1110000"
"2014-11","2014","Model A2","6914388"
"2014-11","2014","New Generation","94734649"
"2014-11","2014","Premium Apartment","56622652"
"2014-11","2014","Simplified","24852500"
"2014-11","2014","Standard","20667188"
"2014-12","2014","Adjoined flat","2348000"
"2014-12","2014","Apartment","31791276"
"2014-12","2014","DBSS","2030000"
"2014-12","2014","Improved","149256568"
"2014-12","2014","Maisonette","25198000"
"2014-12","2014","Model A","160096993"
"2014-12","2014","Model A2","5512888"
"2014-12","2014","New Generation","90971040"
"2014-12","2014","Premium Apartment","51738438"
"2014-12","2014","Simplified","27740388"
"2014-12","2014","Standard","19160000"
"2014-12","2014","Type S1","900000"
